Date,Revenue,EBIT,Net Income,Total Debt,Net Debt,Share Issued,Equity,Free Cash Flow,Ticker,Price,Sector,Industry,Market Cap,Enterprice Value,PER,EV/EBIT,EV/FCF,Net Profit Margin,ROIC
2022-12-30,17090000.0,5102000.0,3058000.0,13037000.0,264000.0,63780.53,2782000.0,6186000.0,BKNG,1969.7,Consumer Cyclical,Travel Services,125628509.941,125892509.941,41.081919535971224,24.675129349470797,20.351197856611705,0.1789350497366881,1.674983585029547
2021-12-31,10958000.0,2496000.0,1165000.0,11277000.0,0.0,63584.44,6178000.0,2516000.0,BKNG,2379.57,Consumer Cyclical,Travel Services,151303625.89080003,162580625.89080003,129.87435698781118,65.13646870625001,64.61869073561209,0.10631502098923161,0.14299627613864221
2024-01-31,9619278.0,2207177.0,1550190.0,1403282.0,0.0,126222.0,4232081.0,1644299.0,LULU,472.02,Consumer Cyclical,Apparel Retail,59579308.44,60982590.44,38.43355230004064,27.62922522298846,37.087287920262675,0.16115450660642097,0.3916654526070459
2023-01-31,8110518.0,1726141.0,854800.0,1070334.0,0.0,127321.0,3148799.0,327806.0,LULU,303.21,Consumer Cyclical,Apparel Retail,38605000.41,39675334.41,45.16261161675245,22.984990455588505,121.03297197122687,0.10539400812623806,0.409122205912921
2022-01-31,6256617.0,1374749.0,975322.0,881052.0,0.0,128500.0,2740046.0,994606.0,LULU,317.34,Consumer Cyclical,Apparel Retail,40778190.0,41659242.0,41.80997660259894,30.303162249981632,41.88517061027181,0.15588647986603624,0.3796497636904607
2021-01-29,4401879.0,849828.0,588913.0,798681.0,0.0,130353.0,2558566.0,574110.0,LULU,327.85,Consumer Cyclical,Apparel Retail,42736231.050000004,43534912.050000004,72.5679872069389,51.22790970643472,75.83026258034175,0.13378673062117336,0.25313240282886545
2023-06-30,1388365.0,144784.0,104513.0,2324.0,0.0,20603.82,607882.0,129893.0,MBUU,59.15,Consumer Cyclical,Recreational Vehicles,1218715.953,1221039.953,11.660902978576827,8.433528242070947,9.400352236071228,0.0752777547690989,0.2372706921924727
2022-06-30,1214877.0,213823.0,157632.0,121738.0,35873.0,20501.08,503174.0,109782.0,MBUU,52.91,Consumer Cyclical,Recreational Vehicles,1084712.1428,1120585.1428,6.881294044356476,5.240713781024493,10.207366806944673,0.12975140693255366,0.3966685650787408
2021-06-30,926515.0,149775.0,109841.0,145302.0,101796.0,20847.02,373428.0,100637.0,MBUU,72.19,Consumer Cyclical,Recreational Vehicles,1504946.3738,1606742.3738,13.701135038828852,10.727707386412952,15.965722088297545,0.1185528566725849,0.3151671632745821
2023-05-31,51217000.0,5915000.0,5070000.0,12144000.0,1492000.0,1532000.0,14004000.0,4872000.0,NKE,103.87,Consumer Cyclical,Footwear & Accessories,159128840.0,160620840.0,31.386358974358973,27.15483347421809,32.96815270935961,0.09899056953745826,0.38171140939597314
2022-05-31,46710000.0,6675000.0,6046000.0,12627000.0,856000.0,1571000.0,15281000.0,4430000.0,NKE,114.17,Consumer Cyclical,Footwear & Accessories,179361070.0,180217070.0,29.666071782997022,26.998811985018726,40.68105417607224,0.12943695140226932,0.41364565904443207
2023-12-29,21427000.0,279000.0,-75000.0,5563000.0,1548000.0,180000.0,4580000.0,2126000.0,ADS.DE,184.26,Consumer Cyclical,Footwear & Accessories,33166800.0,34714800.0,0.0,124.4258064516129,16.328692380056445,-0.0035002566854902693,0.04552872062663185
2022-12-30,22511000.0,729000.0,612000.0,6459000.0,2675000.0,180000.0,4991000.0,-1174000.0,ADS.DE,126.88,Consumer Cyclical,Footwear & Accessories,22838400.0,25513400.0,37.31764705882353,34.99780521262003,0.0,0.027186708720181245,0.09509522567179755
2023-09-29,32653000.0,21927000.0,17273000.0,20463000.0,4177000.0,2068027.5,38733000.0,19696000.0,V,231.48,Financial Services,Credit Services,478707005.7,482884005.7,27.71417852718115,22.022347138231403,24.51685650385865,0.5289866168499066,0.51099976695409
2022-09-30,29310000.0,19681000.0,14957000.0,22450000.0,6761000.0,2112583.0,35581000.0,17879000.0,V,177.58,Financial Services,Credit Services,375152489.14000005,381913489.14000005,25.08206787056228,19.40518719272395,21.361009516192183,0.5103036506311839,0.4648103537858391
2021-09-30,24105000.0,15807000.0,12311000.0,20977000.0,4490000.0,2143027.5,37589000.0,14522000.0,V,222.87,Financial Services,Credit Services,477616538.925,482106538.925,38.79591738485907,30.49955962073765,33.19835690159758,0.5107239161999585,0.37565056203807123
2023-12-29,25098000.0,14630000.0,11195000.0,15681000.0,7093000.0,1409000.0,6929000.0,10892000.0,MA,424.79,Financial Services,Credit Services,598529110.0,605622110.0,53.46396694953104,41.39590635680109,55.602470620639004,0.44605147820543467,1.043360433604336
2022-12-30,22237000.0,12722000.0,9930000.0,14023000.0,7015000.0,1407000.0,6298000.0,10098000.0,MA,341.72,Financial Services,Credit Services,480800040.00000006,487815040.00000006,48.41893655589124,38.34421002986952,48.30808476926124,0.4465530422269191,0.9556073011342296
2021-12-31,18884000.0,10227000.0,8687000.0,13901000.0,6480000.0,1405000.0,7312000.0,8649000.0,MA,352.14,Financial Services,Credit Services,494756700.0,501236700.0,56.953689420973866,49.01111762980346,57.95313909122442,0.4600190637576785,0.7415168213457076
2023-12-29,29771000.0,4944000.0,4246000.0,9676000.0,595000.0,1317000.0,21051000.0,4220000.0,PYPL,63.0,Financial Services,Credit Services,82971000.0,83566000.0,19.540979745642957,16.902508090614887,19.802369668246445,0.14262201471230393,0.22840247620807538
2022-12-30,27518000.0,4044000.0,2419000.0,10417000.0,2641000.0,1309000.0,20274000.0,5107000.0,PYPL,69.48,Financial Services,Credit Services,90949320.0,93590320.0,37.597899958660605,23.143006923837785,18.325889954963774,0.08790609782687696,0.1764782893301331
2021-12-31,25371000.0,4324000.0,4169000.0,8049000.0,2852000.0,1300000.0,21727000.0,4889000.0,PYPL,191.45,Financial Services,Credit Services,248885000.0,251737000.0,59.698968577596546,58.21854764107308,51.49048885252608,0.1643214693941902,0.17592253549778267
2023-12-29,1777710.0,355205.0,281751.0,354758.0,167104.0,45005.18,1253101.0,205540.0,GRBK,52.13,Consumer Cyclical,Residential Construction,2346120.0334,2513224.0334,8.326927085973075,7.075418514379021,12.227420615938504,0.1584909799686113,0.25010825901894446
2022-12-30,1757793.0,359082.0,289025.0,371424.0,291254.0,46032.93,1014211.0,88665.0,GRBK,23.77,Consumer Cyclical,Residential Construction,1094202.7460999999,1385456.7460999999,3.7858411767148166,3.858329702129318,15.62574574070941,0.16442493513172485,0.2750606105870322
2021-12-31,1402876.0,227790.0,190139.0,339663.0,257752.0,51151.91,826852.0,-94407.0,GRBK,30.0,Consumer Cyclical,Residential Construction,1534557.3,1792309.3,8.070713004696564,7.868252776680276,0.0,0.13553514351945575,0.2100213534156245
2023-11-30,34233366.0,5439646.0,3889975.0,4984028.0,0.0,295076.23,26580664.0,5079939.0,LEN,125.14,Consumer Cyclical,Residential Construction,36925839.422199994,41909867.422199994,9.492564713706384,7.704521107108807,8.250072967844691,0.11363109896935054,0.1723332513429879
2022-11-30,33671010.0,6787646.0,4562145.0,6199136.0,1420416.0,292685.36,24100500.0,3208454.0,LEN,84.0,Consumer Cyclical,Residential Construction,24585570.24,26005986.24,5.389037446201293,3.8313704397665993,8.105457095535732,0.13549177764492362,0.26596404298341014
2021-11-30,27130676.0,5138258.0,4377192.0,6378364.0,3456620.0,339943.24,20816425.0,2467602.0,LEN,102.54,Consumer Cyclical,Residential Construction,34857779.8296,38314399.8296,7.963502590153687,7.456690541736129,15.526977133913816,0.16133737323758537,0.21168576089238084
2023-12-29,5970146.0,1611232.0,1252048.0,2477186.0,1282158.0,193923.5,3060888.0,847727.0,RACE,336.84,Consumer Cyclical,Auto Manufacturers,65321191.739999995,66603349.739999995,52.1714756463011,41.33690848990089,78.5669793931301,0.2097181542963941,0.37099123518378574
2022-12-30,5095254.0,1221207.0,932614.0,2811779.0,1365455.0,193923.5,2592857.0,598721.0,RACE,212.63,Consumer Cyclical,Auto Manufacturers,41233953.805,42599408.805,44.213312050859194,34.88303686844245,71.1506842168556,0.18303582117790398,0.3085171153764534
2021-12-31,4270894.0,1068592.0,830767.0,2630011.0,1229655.0,193923.5,2205898.0,545583.0,RACE,251.49,Consumer Cyclical,Auto Manufacturers,48769821.015,49999476.015,58.704571817368766,46.790052718904874,91.64412383633655,0.19451829054994108,0.31103929993220886
2023-12-29,96773000.0,8891000.0,14999000.0,9573000.0,0.0,3185000.0,62634000.0,4357000.0,TSLA,255.1,Consumer Cyclical,Auto Manufacturers,812493500.0,822066500.0,54.169844656310424,92.46052187605444,188.6771861372504,0.15499157822946483,0.12313210630548285
2022-12-30,81462000.0,13832000.0,12583000.0,5748000.0,0.0,3164000.0,44704000.0,7552000.0,TSLA,119.95,Consumer Cyclical,Auto Manufacturers,379521800.0,385269800.0,30.161471827068265,27.853513591671486,51.015598516949154,0.15446465836831896,0.2741615793229208
2021-12-31,53823000.0,6496000.0,5524000.0,8873000.0,0.0,3099000.0,30189000.0,3483000.0,TSLA,357.81,Consumer Cyclical,Auto Manufacturers,1108853190.0,1117726190.0,200.73374185372919,172.06376077586208,320.90904105656045,0.10263270349107259,0.16629972863652653
2023-12-29,574785000.0,36852000.0,30425000.0,135611000.0,0.0,10898000.0,201875000.0,32217000.0,AMZN,153.1,Consumer Cyclical,Internet Retail,1668483800.0,1804094800.0,54.83923746918652,48.955139476826226,55.998224539839214,0.05293283575597832,0.109195640708059
2022-12-30,513983000.0,12248000.0,-2722000.0,140118000.0,13262000.0,10757000.0,146043000.0,-16893000.0,AMZN,83.12,Consumer Cyclical,Internet Retail,894121840.0,907383840.0,0.0,74.08424559111691,0.0,-0.005295895000418302,0.07688396472176015
2021-12-31,469822000.0,24879000.0,33364000.0,116395000.0,12524000.0,10640000.0,138245000.0,-14726000.0,AMZN,168.96,Consumer Cyclical,Internet Retail,1797734400.0,1810258400.0,53.88246013667426,72.76250653161301,0.0,0.07101412875514557,0.16501402808269605
2023-09-29,35975600.0,5502900.0,4124500.0,24599800.0,11848200.0,1142600.0,-7994800.0,3675100.0,SBUX,90.86,Consumer Cyclical,Restaurants,103816636.0,115664836.0,25.170720329736938,21.018887495684094,31.472568365486655,0.11464714973482026,0.0
2022-09-30,32250300.0,4429700.0,3281600.0,23804800.0,12225500.0,1147900.0,-8706600.0,2556000.0,SBUX,83.17,Consumer Cyclical,Restaurants,95470843.0,107696343.0,29.092772732813263,24.3123333408583,42.13471948356808,0.10175409220999494,0.0
2021-09-30,29060600.0,4657200.0,4199300.0,23605100.0,8160100.0,1180000.0,-5321200.0,4519100.0,SBUX,104.8,Consumer Cyclical,Restaurants,123664000.0,131824100.0,29.44871764341676,28.30544103753328,29.17043216569671,0.14450148998988321,0.0
2023-12-29,25493700.0,11745600.0,8468800.0,53091100.0,34766000.0,1660600.0,-4706700.0,7254500.0,MCD,292.26,Consumer Cyclical,Restaurants,485326956.0,520092956.0,57.30764169658039,44.279811674158836,71.69246067957819,0.3321918748553564,0.0
2022-12-30,23182600.0,10344600.0,6177400.0,48699000.0,33319700.0,1660600.0,-6003400.0,5487500.0,MCD,256.2,Consumer Cyclical,Restaurants,425445720.0,458765420.0,68.87132450545538,44.348299595924445,83.60189886104784,0.2664670916980839,0.0
2021-12-31,23222900.0,9872700.0,7545200.0,49349100.0,30913500.0,1660600.0,-4601000.0,7101500.0,MCD,253.23,Consumer Cyclical,Restaurants,420513738.0,451427238.0,55.73261649790595,45.724800510498646,63.56787129479687,0.32490343583273407,0.0
2023-12-29,45754000.0,13083000.0,10714000.0,42064000.0,32698000.0,7040000.0,25941000.0,9747000.0,KO,57.83,Consumer Defensive,Beverages - Non-Alcoholic,407123200.0,439821200.0,37.99917864476386,33.61776350989834,45.123750897712114,0.23416531887922368,0.22311089888981736
2022-12-30,43004000.0,12042000.0,9542000.0,39149000.0,29630000.0,7040000.0,24105000.0,9534000.0,KO,61.0,Consumer Defensive,Beverages - Non-Alcoholic,429440000.0,459070000.0,45.005239991616016,38.12240491612689,48.15082861338368,0.2218863361547763,0.2240997487670978
