Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow,Ticker,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Effect of Unusual Items,Earnings from Equity Interest Net of Tax,Average Dilution Earnings,Treasury Shares Number,Rent Expense Supplemental,Preferred Stock Equity,Preferred Shares Number,Credit Losses Provision,Non Interest Expense,Special Income Charges,Interest Income after Provision for Loan Loss,Total Money Market Investments,Cash Flow from Discontinued Operation
2021-12-31,16434000.0,8505000.0,7929000.0,4281000.0,3648000.0,-26000.0,47000.0,3669000.0,513000.0,3162000.0,3162000.0,2.61,2.57,1213000.0,1229000.0,3648000.0,12786000.0,3162000.0,3168021.26,8000.0,34000.0,-26000.0,3703000.0,4166000.0,8042000.0,463000.0,3162000.0,4173000.0,0.0,12419000.0,4922000.0,7497000.0,7498000.0,7497000.0,348000.0,6885000.0,4343000.0,7810000.0,6885000.0,661000.0,0.0,1232000.0,1207000.0,3521000.0,-686000.0,-1895000.0,2535000.0,35000.0,25000.0,-301000.0,0.0,0.0,0.0,-1999000.0,3220000.0,AMD,-7000.0,-7000.0,-978.74,6000.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,9763000.0,5416000.0,4347000.0,2978000.0,1369000.0,-39000.0,-55000.0,1275000.0,-1210000.0,2490000.0,2491000.0,2.1,2.06,1184000.0,1207000.0,1369000.0,8394000.0,2490000.0,2529420.0,8000.0,47000.0,-39000.0,1322000.0,1676000.0,5062000.0,354000.0,2490000.0,1730000.0,0.0,8962000.0,3125000.0,5837000.0,6167000.0,5837000.0,201000.0,5319000.0,3726000.0,6167000.0,5319000.0,531000.0,0.0,1217000.0,1211000.0,1071000.0,-952000.0,6000.0,1595000.0,8000.0,31000.0,-294000.0,0.0,200000.0,-200000.0,-78000.0,777000.0,AMD,-54000.0,-54000.0,-14580.0,5000.0,1000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-31,60922000.0,16621000.0,44301000.0,11329000.0,32972000.0,609000.0,237000.0,33818000.0,4058000.0,29760000.0,29760000.0,1.21,1.19,24690000.0,24940000.0,32972000.0,27950000.0,29760000.0,29760000.0,866000.0,257000.0,609000.0,34075000.0,35583000.0,16621000.0,1508000.0,29760000.0,35583000.0,0.0,65728000.0,22750000.0,42978000.0,51437000.0,42978000.0,1347000.0,37436000.0,33714000.0,52687000.0,37436000.0,11056000.0,2429000.0,24640000.0,24640000.0,28090000.0,-10566000.0,-13633000.0,7280000.0,6549000.0,252000.0,-1069000.0,0.0,0.0,-1250000.0,-9533000.0,27021000.0,NVDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,26974000.0,11618000.0,15356000.0,9779000.0,5577000.0,5000.0,-1401000.0,4181000.0,-187000.0,4368000.0,4368000.0,0.18,0.17,24870000.0,25070000.0,4224000.0,21397000.0,4368000.0,5436870.0,267000.0,262000.0,5000.0,4443000.0,5987000.0,11618000.0,1544000.0,4368000.0,7340000.0,0.0,41182000.0,19081000.0,22101000.0,31804000.0,22101000.0,1078000.0,16053000.0,16510000.0,33054000.0,16053000.0,12031000.0,7564000.0,24661365.72,24661365.72,5641000.0,7375000.0,-11617000.0,3389000.0,1404000.0,254000.0,-1833000.0,0.0,0.0,0.0,-10039000.0,3808000.0,NVDA,-1353000.0,-1353000.0,-284130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,26914000.0,9439000.0,17475000.0,7434000.0,10041000.0,-207000.0,107000.0,9941000.0,189000.0,9752000.0,9752000.0,0.39,0.39,24960000.0,25350000.0,10041000.0,16873000.0,9752000.0,9752000.0,29000.0,236000.0,-207000.0,10177000.0,11351000.0,9439000.0,1174000.0,9752000.0,11351000.0,0.0,44187000.0,17575000.0,26612000.0,37558000.0,26612000.0,885000.0,19924000.0,24494000.0,37558000.0,19924000.0,11831000.0,8956000.0,25060000.0,25060000.0,9108000.0,-9830000.0,1865000.0,1990000.0,396000.0,246000.0,-976000.0,0.0,4977000.0,-1000000.0,0.0,8132000.0,NVDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-29,16675000.0,6279000.0,10396000.0,5864000.0,4532000.0,-127000.0,4000.0,4409000.0,77000.0,4332000.0,4332000.0,0.18,0.17,24680000.0,25120000.0,4532000.0,12143000.0,4332000.0,4332000.0,57000.0,184000.0,-127000.0,4593000.0,5691000.0,6279000.0,1098000.0,4332000.0,5691000.0,0.0,28791000.0,11898000.0,16893000.0,22857000.0,16893000.0,634000.0,9963000.0,12130000.0,23856000.0,9963000.0,7597000.0,6116000.0,38600000.0,24800000.0,5822000.0,-19675000.0,3804000.0,847000.0,249000.0,138000.0,-1128000.0,0.0,4968000.0,0.0,0.0,4694000.0,NVDA,0.0,0.0,0.0,0.0,0.0,13800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NVDA,0.0,0.0,0.0,0.0,0.0,13700576.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-29,7060000.0,3545000.0,3515000.0,3593000.0,-78000.0,241000.0,22000.0,185000.0,53000.0,132000.0,133000.0,0.1,0.1,1281554.56,1295511.39,-1418000.0,7138000.0,132000.0,74918.92,241000.0,0.0,241000.0,-78000.0,-8000.0,3545000.0,70000.0,132000.0,-88000.0,0.0,11299000.0,2233000.0,9066000.0,9982000.0,9066000.0,234000.0,8610000.0,5377000.0,9982000.0,8610000.0,1150000.0,0.0,1286570.29,1286570.29,944000.0,-1244000.0,60000.0,1413000.0,50000.0,1000.0,-39000.0,0.0,0.0,0.0,0.0,905000.0,SHOP,80000.0,80000.0,22918.92,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-30,5600000.0,2846000.0,2754000.0,3576000.0,-822000.0,75000.0,-2876000.0,-3623000.0,-163000.0,-3460000.0,-3460000.0,-2.73,-2.73,1266268.16,1266268.16,-822000.0,6422000.0,-3460000.0,-713392.22,75000.0,1150.0,75000.0,-822000.0,-729000.0,2846000.0,93000.0,-3460000.0,2147000.0,0.0,10757000.0,2518000.0,8239000.0,9152000.0,8239000.0,483000.0,6013000.0,5194000.0,9152000.0,6013000.0,1396000.0,0.0,1275128.57,1275128.57,-136000.0,-719000.0,18000.0,1649000.0,27000.0,1000.0,-50000.0,0.0,0.0,0.0,0.0,-186000.0,SHOP,-2876000.0,-2876000.0,-129392.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
