Date,Price,Ticker
2023-10-06,550.01,COST
2023-10-09,539.24,COST
2023-10-10,544.02,COST
2023-10-11,548.81,COST
2023-10-12,551.92,COST
2023-10-13,547.83,COST
2023-10-16,553.51,COST
2023-10-17,555.69,COST
2023-10-18,557.62,COST
2023-10-19,557.41,COST
2023-10-20,550.45,COST
2023-10-23,538.4,COST
2023-10-24,536.42,COST
2023-10-25,532.97,COST
2023-10-26,534.04,COST
2023-10-27,532.05,COST
2023-10-30,530.24,COST
2023-10-31,536.48,COST
2023-11-01,539.24,COST
2023-11-02,541.69,COST
2023-11-03,542.49,COST
2023-11-06,545.57,COST
2023-11-07,557.26,COST
2023-11-08,556.89,COST
2023-11-09,553.85,COST
2023-11-10,552.78,COST
2023-11-13,559.69,COST
2023-11-14,566.25,COST
2023-11-15,578.18,COST
2023-11-16,570.77,COST
2023-11-17,563.49,COST
2023-11-20,561.97,COST
2023-11-21,566.51,COST
2023-11-22,571.23,COST
2023-11-24,575.29,COST
2023-11-27,576.75,COST
2023-11-28,577.4,COST
2023-11-29,579.36,COST
2023-11-30,572.18,COST
2023-12-01,577.49,COST
2023-12-04,576.39,COST
2023-12-05,582.6,COST
2023-12-06,589.38,COST
2023-12-07,593.76,COST
2023-12-08,592.4,COST
2023-12-11,605.41,COST
2023-12-12,610.74,COST
2023-12-13,617.04,COST
2023-12-14,624.11,COST
2023-12-15,624.42,COST
2023-12-18,646.81,COST
2023-12-19,657.03,COST
2023-12-20,653.91,COST
2023-12-21,648.13,COST
2023-12-22,650.22,COST
2023-12-26,655.09,COST
2023-12-27,659.73,COST
2023-12-28,662.86,COST
2023-12-29,658.04,COST
2024-01-02,652.64,COST
2024-01-03,648.29,COST
2024-01-04,639.2,COST
2024-01-05,653.24,COST
2024-01-08,652.87,COST
2024-01-09,655.92,COST
2024-01-10,666.56,COST
2024-01-11,667.99,COST
2024-01-12,674.46,COST
2024-01-16,680.18,COST
2024-01-17,677.45,COST
2024-01-18,679.77,COST
2024-01-19,685.41,COST
2024-01-22,692.31,COST
2024-01-23,687.62,COST
2024-01-24,685.91,COST
2024-01-25,683.42,COST
2024-01-26,677.03,COST
2024-01-29,686.81,COST
2024-01-30,689.83,COST
2024-01-31,698.17,COST
2024-02-01,691.9,COST
2024-02-02,701.21,COST
2024-02-05,708.49,COST
2024-02-06,709.08,COST
2024-02-07,711.99,COST
2024-02-08,721.7,COST
2024-02-09,722.95,COST
2024-02-12,721.33,COST
2024-02-13,719.21,COST
2024-02-14,713.84,COST
2024-02-15,719.31,COST
2024-02-16,719.81,COST
2024-02-20,725.83,COST
2024-02-21,723.5,COST
2024-02-22,723.66,COST
2024-02-23,737.88,COST
2024-02-26,739.76,COST
2024-02-27,743.75,COST
2024-02-28,740.96,COST
2024-02-29,749.15,COST
2024-03-01,738.2,COST
2024-03-04,752.8,COST
2024-03-05,766.1,COST
2024-03-06,762.53,COST
2024-03-07,776.76,COST
2024-03-08,753.77,COST
2024-03-11,717.63,COST
2024-03-12,714.91,COST
2024-03-13,732.78,COST
2024-03-14,736.1,COST
2024-03-15,730.31,COST
2024-03-18,723.91,COST
2024-03-19,729.58,COST
2024-03-20,728.79,COST
2024-03-21,741.25,COST
2024-03-22,742.18,COST
2024-03-25,728.79,COST
2024-03-26,728.79,COST
2024-03-27,731.78,COST
2024-03-28,731.63,COST
2024-04-01,729.55,COST
2024-04-02,717.82,COST
2024-04-03,707.83,COST
2024-04-04,706.63,COST
2024-04-05,703.91,COST
2024-04-08,711.35,COST
